Time,Temperature (Kelvin)
0,352
30,350
60,348.5
90,347
120,346
150,345
180,342.5
210,341
240,339.5
270,338.5
300,338
330,336.5
360,335.5
390,334.5
420,333.5
450,332
480,331
510,330
540,330
570,329
630,328
660,327
690,326.5
720,326
750,324.5
780,323.5
810,323
840,322
870,321.5
900,321
930,320.5
960,320
990,319
1020,318.5
1050,318
1080,317.5
1110,317
1140,316.5
1170,316
1200,315.5
1230,315
1260,314.5
1290,314
1320,314
1350,313.5
1380,313
1410,313
1440,312.5
1470,312
1500,311.5
1530,311
1560,311
1590,311
1620,310.5
1650,310
1680,310
1710,310
1740,309.5
1770,309
1800,309
1830,309
1860,308.5
1890,308.5
1920,308
1950,308
1980,308
2010,308
2040,307.5
2070,307.5
2100,307
2130,307
2160,307
2190,307
2220,306.5
2250,306.5
2280,306.5
2310,306
2340,306
2370,306
2400,306
2430,306
2460,305.5
2490,305.5
2520,305.5
2550,305.5
2580,305.5
2610,305
2640,305
2670,305
2700,305
2730,305
2760,304.5
2790,304.5
2820,304.5
2850,304.5
2880,304.5
2910,304.5
2940,304.5
2970,304
3000,304
